t,alt
0,0.0
1,1.6
2,2.2
3,4.4
4,19.5
5,37.2
6,42.9
7,43.0
8,41.3
9,40.5
10,40.5
11,40.4
12,39.8
13,39.6
14,37.7
15,37.6
16,36.0
17,35.1
18,34.1
19,33.1
20,32.9
21,32.1
22,31.3
23,30.5
24,30.3
25,29.9
26,28.8
27,27.3
28,26.6
29,26.7
30,26.3
31,25.2
32,24.2
33,22.9
34,22.1
35,20.0
36,19.2
37,19.0
38,18.1
39,17.0
40,16.5
41,15.9
42,15.9
43,15.4
44,14.4
45,13.0
46,11.6
47,12.0
48,11.5
49,10.6
50,10.0
51,11.0
52,10.2
53,8.2
54,6.8
55,6.4
56,6.9
57,7.5
58,7.0
59,6.5
60,6.5
61,5.5
62,3.5
63,3.1
64,3.5
65,3.5
66,2.5
67,1.3
68,1.3
